"n","p","replication","implementation","time_seconds","batch_calls"
5000,1000,1,"mfscreen0",0.00712499999999983,8
5000,1000,2,"mfscreen0",0.00712500000000027,8
5000,1000,3,"mfscreen0",0.00712499999999983,8
5000,1000,4,"mfscreen0",0.00712499999999983,8
5000,1000,5,"mfscreen0",0.00712499999999983,8
5000,1000,6,"mfscreen0",0.00724999999999998,8
5000,1000,7,"mfscreen0",0.00724999999999998,8
5000,1000,8,"mfscreen0",0.00712499999999983,8
5000,1000,9,"mfscreen0",0.00712499999999983,8
5000,1000,10,"mfscreen0",0.00724999999999998,8
5000,1000,11,"mfscreen0",0.00712499999999983,8
5000,1000,12,"mfscreen0",0.00724999999999998,8
5000,1000,1,"mfscreen",0.000765624999999992,128
5000,1000,2,"mfscreen",0.000703124999999999,128
5000,1000,3,"mfscreen",0.000703124999999999,128
5000,1000,4,"mfscreen",0.000703124999999999,128
5000,1000,5,"mfscreen",0.000695312500000017,128
5000,1000,6,"mfscreen",0.000695312499999989,128
5000,1000,7,"mfscreen",0.000695312499999989,128
5000,1000,8,"mfscreen",0.000695312500000017,128
5000,1000,9,"mfscreen",0.000695312500000017,128
5000,1000,10,"mfscreen",0.000695312499999989,128
5000,1000,11,"mfscreen",0.000703124999999999,128
5000,1000,12,"mfscreen",0.000703124999999999,128
500,5000,1,"mfscreen0",0.00349999999999984,16
500,5000,2,"mfscreen0",0.00356249999999991,16
500,5000,3,"mfscreen0",0.00356249999999991,16
500,5000,4,"mfscreen0",0.00356249999999991,16
500,5000,5,"mfscreen0",0.00356249999999991,16
500,5000,6,"mfscreen0",0.00356250000000014,16
500,5000,7,"mfscreen0",0.00350000000000006,16
500,5000,8,"mfscreen0",0.00350000000000006,16
500,5000,9,"mfscreen0",0.00350000000000006,16
500,5000,10,"mfscreen0",0.00350000000000006,16
500,5000,11,"mfscreen0",0.00350000000000006,16
500,5000,12,"mfscreen0",0.00356250000000014,16
500,5000,1,"mfscreen",0.000398437499999987,128
500,5000,2,"mfscreen",0.000390625000000006,128
500,5000,3,"mfscreen",0.000390624999999978,128
500,5000,4,"mfscreen",0.000398437499999987,128
500,5000,5,"mfscreen",0.000390625000000006,128
500,5000,6,"mfscreen",0.000398437499999987,128
500,5000,7,"mfscreen",0.000398437500000015,128
500,5000,8,"mfscreen",0.000382812499999996,128
500,5000,9,"mfscreen",0.000390624999999978,128
500,5000,10,"mfscreen",0.000414062499999979,128
500,5000,11,"mfscreen",0.000390625000000006,128
500,5000,12,"mfscreen",0.000398437500000015,128
2000,5000,1,"mfscreen0",0.0142500000000005,4
2000,5000,2,"mfscreen0",0.0145,4
2000,5000,3,"mfscreen0",0.0145,4
2000,5000,4,"mfscreen0",0.0145,4
2000,5000,5,"mfscreen0",0.0147500000000003,4
2000,5000,6,"mfscreen0",0.0145,4
2000,5000,7,"mfscreen0",0.0142500000000005,4
2000,5000,8,"mfscreen0",0.0147500000000003,4
2000,5000,9,"mfscreen0",0.0142499999999997,4
2000,5000,10,"mfscreen0",0.0145,4
2000,5000,11,"mfscreen0",0.0145,4
2000,5000,12,"mfscreen0",0.0145,4
2000,5000,1,"mfscreen",0.00129687500000003,64
2000,5000,2,"mfscreen",0.00131249999999999,64
2000,5000,3,"mfscreen",0.00134375000000003,64
2000,5000,4,"mfscreen",0.00139062499999998,64
2000,5000,5,"mfscreen",0.001359375,64
2000,5000,6,"mfscreen",0.001359375,64
2000,5000,7,"mfscreen",0.001359375,64
2000,5000,8,"mfscreen",0.00134375000000003,64
2000,5000,9,"mfscreen",0.001359375,64
2000,5000,10,"mfscreen",0.00131249999999999,64
2000,5000,11,"mfscreen",0.00134374999999998,64
2000,5000,12,"mfscreen",0.00134375000000009,64
5000,5000,1,"mfscreen0",0.0360000000000014,2
5000,5000,2,"mfscreen0",0.0365000000000002,2
5000,5000,3,"mfscreen0",0.0360000000000014,2
5000,5000,4,"mfscreen0",0.0359999999999978,2
5000,5000,5,"mfscreen0",0.035499999999999,2
5000,5000,6,"mfscreen0",0.0365000000000002,2
5000,5000,7,"mfscreen0",0.0364999999999966,2
5000,5000,8,"mfscreen0",0.0360000000000014,2
5000,5000,9,"mfscreen0",0.0365000000000002,2
5000,5000,10,"mfscreen0",0.036999999999999,2
5000,5000,11,"mfscreen0",0.0359999999999978,2
5000,5000,12,"mfscreen0",0.0360000000000014,2
5000,5000,1,"mfscreen",0.0031874999999999,32
5000,5000,2,"mfscreen",0.00318750000000012,32
5000,5000,3,"mfscreen",0.00340625000000006,32
5000,5000,4,"mfscreen",0.00312500000000004,32
5000,5000,5,"mfscreen",0.0030937499999999,32
5000,5000,6,"mfscreen",0.0031874999999999,32
5000,5000,7,"mfscreen",0.00321874999999983,32
5000,5000,8,"mfscreen",0.00318750000000012,32
5000,5000,9,"mfscreen",0.00324999999999998,32
5000,5000,10,"mfscreen",0.0032812499999999,32
5000,5000,11,"mfscreen",0.00315624999999997,32
5000,5000,12,"mfscreen",0.00312499999999982,32
