"n","p","matrix_gb","replication","implementation","time_seconds","batch_calls"
50000,5000,1.86264514923096,5,"mfscreen",0.353999999999999,1
50000,5000,1.86264514923096,1,"mfscreen",0.0272499999999996,4
50000,5000,1.86264514923096,2,"mfscreen",0.0280000000000005,4
50000,5000,1.86264514923096,3,"mfscreen",0.0274999999999999,4
50000,5000,1.86264514923096,4,"mfscreen",0.0277500000000002,4
50000,5000,1.86264514923096,5,"mfscreen",0.0270000000000001,4
100000,5000,3.72529029846191,1,"mfscreen",0.708999999999996,1
100000,5000,3.72529029846191,2,"mfscreen",0.707000000000001,1
100000,5000,3.72529029846191,3,"mfscreen",0.709999999999994,1
100000,5000,3.72529029846191,1,"mfscreen",0.0509999999999984,2
100000,5000,3.72529029846191,2,"mfscreen",0.0494999999999983,2
100000,5000,3.72529029846191,3,"mfscreen",0.0485000000000007,2
10000,10000,0.745058059692383,1,"mfscreen",0.143999999999998,1
10000,10000,0.745058059692383,2,"mfscreen",0.142000000000003,1
10000,10000,0.745058059692383,3,"mfscreen",0.141999999999996,1
10000,10000,0.745058059692383,4,"mfscreen",0.141999999999996,1
10000,10000,0.745058059692383,5,"mfscreen",0.142000000000003,1
10000,10000,0.745058059692383,1,"mfscreen",0.0121250000000002,16
10000,10000,0.745058059692383,2,"mfscreen",0.0121249999999997,16
10000,10000,0.745058059692383,3,"mfscreen",0.0123125000000002,16
10000,10000,0.745058059692383,4,"mfscreen",0.0120625000000003,16
10000,10000,0.745058059692383,5,"mfscreen",0.0119375000000002,16
50000,10000,3.72529029846191,1,"mfscreen",0.715000000000003,1
50000,10000,3.72529029846191,2,"mfscreen",0.714999999999996,1
50000,10000,3.72529029846191,3,"mfscreen",0.715000000000003,1
50000,10000,3.72529029846191,1,"mfscreen",0.0522500000000008,4
50000,10000,3.72529029846191,2,"mfscreen",0.0510000000000002,4
50000,10000,3.72529029846191,3,"mfscreen",0.0492499999999989,4
100000,10000,7.45058059692383,1,"mfscreen",1.44,1
100000,10000,7.45058059692383,2,"mfscreen",1.437,1
100000,10000,7.45058059692383,3,"mfscreen",1.43300000000001,1
100000,10000,7.45058059692383,1,"mfscreen",0.0949999999999989,2
100000,10000,7.45058059692383,2,"mfscreen",0.0955000000000013,2
100000,10000,7.45058059692383,3,"mfscreen",0.0959999999999965,2
