"scenario","method","replication","q","fpr","ssp","selected_count"
"Clean homoskedastic","Pearson SIS",5,0.005,0.0050251256281407,1,10
"Clean homoskedastic","Pearson SIS",5,0.01,0.0100502512562814,1,15
"Clean homoskedastic","Pearson SIS",5,0.025,0.0201005025125628,1,25
"Clean homoskedastic","Pearson SIS",5,0.05,0.0422110552763819,1,47
"Clean homoskedastic","Pearson SIS",5,0.1,0.0934673366834171,1,98
"Clean homoskedastic","Pearson SIS",5,0.2,0.18894472361809,1,193
"Clean homoskedastic","Pearson SIS",5,0.3,0.281407035175879,1,285
"Clean homoskedastic","Spearman SIS",5,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",5,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Spearman SIS",5,0.01,0.0100502512562814,1,15
"Clean homoskedastic","Spearman SIS",5,0.025,0.0231155778894472,1,28
"Clean homoskedastic","Spearman SIS",5,0.05,0.0482412060301508,1,53
"Clean homoskedastic","Spearman SIS",5,0.1,0.0974874371859296,1,102
"Clean homoskedastic","Spearman SIS",5,0.2,0.195979899497487,1,200
"Clean homoskedastic","Spearman SIS",5,0.3,0.293467336683417,1,297
"Clean homoskedastic","mfscreen",6,0.001,0,1,5
"Clean homoskedastic","mfscreen",6,0.005,0.00301507537688442,1,8
"Clean homoskedastic","mfscreen",6,0.01,0.00804020100502513,1,13
"Clean homoskedastic","mfscreen",6,0.025,0.0190954773869347,1,24
"Clean homoskedastic","mfscreen",6,0.05,0.0492462311557789,1,54
"Clean homoskedastic","mfscreen",6,0.1,0.11356783919598,1,118
"Clean homoskedastic","mfscreen",6,0.2,0.228140703517588,1,232
"Clean homoskedastic","mfscreen",6,0.3,0.34572864321608,1,349
"Clean homoskedastic","Pearson SIS",6,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",6,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Pearson SIS",6,0.01,0.00603015075376884,1,11
"Clean homoskedastic","Pearson SIS",6,0.025,0.0180904522613065,1,23
"Clean homoskedastic","Pearson SIS",6,0.05,0.0462311557788945,1,51
"Clean homoskedastic","Pearson SIS",6,0.1,0.110552763819095,1,115
"Clean homoskedastic","Pearson SIS",6,0.2,0.233165829145729,1,237
"Clean homoskedastic","Pearson SIS",6,0.3,0.34572864321608,1,349
"Clean homoskedastic","Spearman SIS",6,0.001,0.00100502512562814,1,6
