"replication","method","alpha","tpr","fpr","fdr","selected_count","ssp","covered"
11,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
12,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
12,"mfscreen",0.1,1,0.00201612903225806,0.2,10,1,0
12,"mfscreen",0.15,1,0.00403225806451613,0.333333333333333,12,1,0
12,"mfscreen",0.2,1,0.00403225806451613,0.333333333333333,12,1,0
12,"mfscreen",0.25,1,0.00403225806451613,0.333333333333333,12,1,0
12,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
13,"mfscreen",0.05,1,0,0,8,1,1
13,"mfscreen",0.1,1,0,0,8,1,1
13,"mfscreen",0.15,1,0,0,8,1,1
13,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
13,"mfscreen",0.25,1,0.00201612903225806,0.2,10,1,1
13,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
14,"mfscreen",0.05,1,0,0,8,1,1
14,"mfscreen",0.1,1,0,0,8,1,1
14,"mfscreen",0.15,1,0,0,8,1,1
14,"mfscreen",0.2,1,0,0,8,1,1
14,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
14,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
15,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
15,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
15,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
15,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
15,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
15,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
16,"mfscreen",0.05,1,0,0,8,1,1
16,"mfscreen",0.1,1,0,0,8,1,1
16,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
16,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
16,"mfscreen",0.25,1,0.00201612903225806,0.2,10,1,1
16,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
17,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
17,"mfscreen",0.1,1,0.00201612903225806,0.2,10,1,0
17,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
17,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
17,"mfscreen",0.25,1,0.0030241935483871,0.272727272727273,11,1,0
17,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
17,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
17,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
17,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
17,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
17,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
17,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
17,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
17,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
17,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
17,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
17,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
17,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
17,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
17,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
18,"mfscreen",0.05,1,0,0,8,1,1
18,"mfscreen",0.1,1,0,0,8,1,1
18,"mfscreen",0.15,1,0,0,8,1,1
18,"mfscreen",0.2,1,0,0,8,1,1
18,"mfscreen",0.25,1,0,0,8,1,1
18,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
18,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
18,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
18,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
18,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
18,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
18,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
18,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
18,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
18,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
18,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
18,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
18,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
18,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
18,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
19,"mfscreen",0.05,1,0,0,8,1,1
19,"mfscreen",0.1,1,0,0,8,1,1
19,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
19,"mfscreen",0.2,1,0.0030241935483871,0.272727272727273,11,1,0
19,"mfscreen",0.25,1,0.0030241935483871,0.272727272727273,11,1,0
19,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
19,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
19,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
19,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
19,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
19,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
19,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
19,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
19,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
19,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
19,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
19,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
19,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
19,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
19,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
20,"mfscreen",0.05,0.875,0,0,7,0,1
20,"mfscreen",0.1,0.875,0,0,7,0,1
20,"mfscreen",0.15,0.875,0,0,7,0,1
20,"mfscreen",0.2,0.875,0.00100806451612903,0.125,8,0,1
20,"mfscreen",0.25,0.875,0.00100806451612903,0.125,8,0,1
