"replication","method","target_fdr","rule","tpr","fpr","fdr","selected_count","ssp"
34,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
34,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
34,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
35,"mfscreen",0.2,"mfscreen q = 0.00161",0.875,0,0,7,0
35,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
35,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
35,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
36,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
36,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
36,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
36,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
37,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00403225806451613,0.333333333333333,12,1
37,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
37,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
37,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
38,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
38,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
38,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
38,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
39,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
39,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
39,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
39,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
40,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
40,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
40,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
40,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
41,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00504032258064516,0.384615384615385,13,1
41,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
41,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
41,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
42,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
42,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
42,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
