"model","method","replication","q","fpr","ssp"
"Parametric linear","mfscreen",8,0.005,0.00201005025125628,0
"Parametric linear","mfscreen",8,0.01,0.00703517587939699,0
"Parametric linear","mfscreen",8,0.025,0.0221105527638191,0
"Parametric linear","mfscreen",8,0.05,0.0422110552763819,1
"Parametric linear","mfscreen",8,0.1,0.0954773869346734,1
"Parametric linear","mfscreen",8,0.2,0.193969849246231,1
"Parametric linear","mfscreen",8,0.3,0.30251256281407,1
"Parametric linear","Pearson SIS",8,0.001,0,0
"Parametric linear","Pearson SIS",8,0.005,0.00201005025125628,0
"Parametric linear","Pearson SIS",8,0.01,0.0050251256281407,0
"Parametric linear","Pearson SIS",8,0.025,0.021105527638191,0
"Parametric linear","Pearson SIS",8,0.05,0.0381909547738693,1
"Parametric linear","Pearson SIS",8,0.1,0.092462311557789,1
"Parametric linear","Pearson SIS",8,0.2,0.192964824120603,1
"Parametric linear","Pearson SIS",8,0.3,0.305527638190955,1
"Parametric linear","Spearman SIS",8,0.001,0,0
"Parametric linear","Spearman SIS",8,0.005,0.00301507537688442,0
"Parametric linear","Spearman SIS",8,0.01,0.00804020100502513,0
"Parametric linear","Spearman SIS",8,0.025,0.0180904522613065,0
"Parametric linear","Spearman SIS",8,0.05,0.0412060301507538,0
"Parametric linear","Spearman SIS",8,0.1,0.0904522613065327,0
"Parametric linear","Spearman SIS",8,0.2,0.187939698492462,1
"Parametric linear","Spearman SIS",8,0.3,0.292462311557789,1
"Parametric linear","mfscreen",9,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",9,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",9,0.01,0.00904522613065327,0
"Parametric linear","mfscreen",9,0.025,0.0261306532663317,0
"Parametric linear","mfscreen",9,0.05,0.0522613065326633,1
"Parametric linear","mfscreen",9,0.1,0.107537688442211,1
"Parametric linear","mfscreen",9,0.2,0.209045226130653,1
"Parametric linear","mfscreen",9,0.3,0.30251256281407,1
"Parametric linear","Pearson SIS",9,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",9,0.005,0.00804020100502513,0
"Parametric linear","Pearson SIS",9,0.01,0.0100502512562814,0
"Parametric linear","Pearson SIS",9,0.025,0.0241206030150754,0
"Parametric linear","Pearson SIS",9,0.05,0.0522613065326633,1
"Parametric linear","Pearson SIS",9,0.1,0.107537688442211,1
"Parametric linear","Pearson SIS",9,0.2,0.212060301507538,1
"Parametric linear","Pearson SIS",9,0.3,0.304522613065327,1
"Parametric linear","Spearman SIS",9,0.001,0,0
"Parametric linear","Spearman SIS",9,0.005,0.00804020100502513,0
"Parametric linear","Spearman SIS",9,0.01,0.0130653266331658,0
"Parametric linear","Spearman SIS",9,0.025,0.0261306532663317,1
"Parametric linear","Spearman SIS",9,0.05,0.0522613065326633,1
"Parametric linear","Spearman SIS",9,0.1,0.101507537688442,1
"Parametric linear","Spearman SIS",9,0.2,0.208040201005025,1
"Parametric linear","Spearman SIS",9,0.3,0.294472361809045,1
"Parametric linear","mfscreen",10,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",10,0.005,0.00904522613065327,1
"Parametric linear","mfscreen",10,0.01,0.014070351758794,1
"Parametric linear","mfscreen",10,0.025,0.0291457286432161,1
"Parametric linear","mfscreen",10,0.05,0.0472361809045226,1
"Parametric linear","mfscreen",10,0.1,0.0994974874371859,1
"Parametric linear","mfscreen",10,0.2,0.194974874371859,1
"Parametric linear","mfscreen",10,0.3,0.296482412060302,1
"Parametric linear","Pearson SIS",10,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",10,0.005,0.00904522613065327,0
"Parametric linear","Pearson SIS",10,0.01,0.0130653266331658,1
"Parametric linear","Pearson SIS",10,0.025,0.0281407035175879,1
"Parametric linear","Pearson SIS",10,0.05,0.050251256281407,1
"Parametric linear","Pearson SIS",10,0.1,0.101507537688442,1
"Parametric linear","Pearson SIS",10,0.2,0.190954773869347,1
"Parametric linear","Pearson SIS",10,0.3,0.294472361809045,1
"Parametric linear","Spearman SIS",10,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",10,0.005,0.00804020100502513,1
"Parametric linear","Spearman SIS",10,0.01,0.0160804020100503,1
"Parametric linear","Spearman SIS",10,0.025,0.0251256281407035,1
"Parametric linear","Spearman SIS",10,0.05,0.0452261306532663,1
"Parametric linear","Spearman SIS",10,0.1,0.0934673366834171,1
"Parametric linear","Spearman SIS",10,0.2,0.205025125628141,1
"Parametric linear","Spearman SIS",10,0.3,0.279396984924623,1
"Parametric linear","mfscreen",11,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",11,0.005,0.00301507537688442,0
"Parametric linear","mfscreen",11,0.01,0.0120603015075377,0
"Parametric linear","mfscreen",11,0.025,0.0281407035175879,0
"Parametric linear","mfscreen",11,0.05,0.0592964824120603,0
"Parametric linear","mfscreen",11,0.1,0.112562814070352,0
"Parametric linear","mfscreen",11,0.2,0.207035175879397,0
"Parametric linear","mfscreen",11,0.3,0.312562814070352,1
"Parametric linear","Pearson SIS",11,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",11,0.005,0.00301507537688442,0
"Parametric linear","Pearson SIS",11,0.01,0.0100502512562814,0
"Parametric linear","Pearson SIS",11,0.025,0.0301507537688442,0
"Parametric linear","Pearson SIS",11,0.05,0.0592964824120603,0
"Parametric linear","Pearson SIS",11,0.1,0.107537688442211,0
"Parametric linear","Pearson SIS",11,0.2,0.208040201005025,0
"Parametric linear","Pearson SIS",11,0.3,0.306532663316583,1
"Parametric linear","Spearman SIS",11,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",11,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",11,0.01,0.00904522613065327,0
"Parametric linear","Spearman SIS",11,0.025,0.0281407035175879,0
"Parametric linear","Spearman SIS",11,0.05,0.0532663316582915,0
"Parametric linear","Spearman SIS",11,0.1,0.114572864321608,0
"Parametric linear","Spearman SIS",11,0.2,0.21608040201005,0
"Parametric linear","Spearman SIS",11,0.3,0.312562814070352,1
"Parametric linear","mfscreen",12,0.001,0,0
"Parametric linear","mfscreen",12,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",12,0.01,0.014070351758794,0
"Parametric linear","mfscreen",12,0.025,0.0271356783919598,0
"Parametric linear","mfscreen",12,0.05,0.0613065326633166,0
"Parametric linear","mfscreen",12,0.1,0.103517587939698,0
"Parametric linear","mfscreen",12,0.2,0.204020100502513,0
"Parametric linear","mfscreen",12,0.3,0.319597989949749,1
"Parametric linear","Pearson SIS",12,0.001,0,0
"Parametric linear","Pearson SIS",12,0.005,0.00703517587939699,0
"Parametric linear","Pearson SIS",12,0.01,0.014070351758794,0
"Parametric linear","Pearson SIS",12,0.025,0.0281407035175879,0
"Parametric linear","Pearson SIS",12,0.05,0.0613065326633166,0
"Parametric linear","Pearson SIS",12,0.1,0.105527638190955,0
"Parametric linear","Pearson SIS",12,0.2,0.201005025125628,0
"Parametric linear","Pearson SIS",12,0.3,0.319597989949749,1
"Parametric linear","Spearman SIS",12,0.001,0.00301507537688442,0
"Parametric linear","Spearman SIS",12,0.005,0.00904522613065327,0
"Parametric linear","Spearman SIS",12,0.01,0.0150753768844221,0
"Parametric linear","Spearman SIS",12,0.025,0.0291457286432161,0
"Parametric linear","Spearman SIS",12,0.05,0.0522613065326633,0
"Parametric linear","Spearman SIS",12,0.1,0.0984924623115578,0
"Parametric linear","Spearman SIS",12,0.2,0.196984924623116,0
"Parametric linear","Spearman SIS",12,0.3,0.288442211055276,1
"Parametric linear","mfscreen",13,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",13,0.005,0.00603015075376884,1
"Parametric linear","mfscreen",13,0.01,0.00703517587939699,1
"Parametric linear","mfscreen",13,0.025,0.0190954773869347,1
"Parametric linear","mfscreen",13,0.05,0.0532663316582915,1
"Parametric linear","mfscreen",13,0.1,0.115577889447236,1
"Parametric linear","mfscreen",13,0.2,0.205025125628141,1
"Parametric linear","mfscreen",13,0.3,0.303517587939699,1
"Parametric linear","Pearson SIS",13,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",13,0.005,0.0050251256281407,1
"Parametric linear","Pearson SIS",13,0.01,0.00703517587939699,1
"Parametric linear","Pearson SIS",13,0.025,0.0201005025125628,1
"Parametric linear","Pearson SIS",13,0.05,0.0482412060301508,1
"Parametric linear","Pearson SIS",13,0.1,0.114572864321608,1
"Parametric linear","Pearson SIS",13,0.2,0.207035175879397,1
"Parametric linear","Pearson SIS",13,0.3,0.305527638190955,1
"Parametric linear","Spearman SIS",13,0.001,0.00201005025125628,0
"Parametric linear","Spearman SIS",13,0.005,0.00603015075376884,0
"Parametric linear","Spearman SIS",13,0.01,0.00703517587939699,1
"Parametric linear","Spearman SIS",13,0.025,0.0201005025125628,1
"Parametric linear","Spearman SIS",13,0.05,0.057286432160804,1
"Parametric linear","Spearman SIS",13,0.1,0.114572864321608,1
"Parametric linear","Spearman SIS",13,0.2,0.214070351758794,1
"Parametric linear","Spearman SIS",13,0.3,0.315577889447236,1
"Parametric linear","mfscreen",14,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",14,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",14,0.01,0.0130653266331658,0
"Parametric linear","mfscreen",14,0.025,0.0291457286432161,0
"Parametric linear","mfscreen",14,0.05,0.0592964824120603,0
"Parametric linear","mfscreen",14,0.1,0.11356783919598,1
"Parametric linear","mfscreen",14,0.2,0.217085427135678,1
"Parametric linear","mfscreen",14,0.3,0.312562814070352,1
"Parametric linear","Pearson SIS",14,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",14,0.005,0.00703517587939699,0
"Parametric linear","Pearson SIS",14,0.01,0.014070351758794,0
"Parametric linear","Pearson SIS",14,0.025,0.0281407035175879,0
"Parametric linear","Pearson SIS",14,0.05,0.057286432160804,0
"Parametric linear","Pearson SIS",14,0.1,0.114572864321608,1
"Parametric linear","Pearson SIS",14,0.2,0.220100502512563,1
"Parametric linear","Pearson SIS",14,0.3,0.311557788944724,1
"Parametric linear","Spearman SIS",14,0.001,0,0
"Parametric linear","Spearman SIS",14,0.005,0.00804020100502513,0
"Parametric linear","Spearman SIS",14,0.01,0.014070351758794,0
"Parametric linear","Spearman SIS",14,0.025,0.0311557788944724,0
"Parametric linear","Spearman SIS",14,0.05,0.0633165829145729,0
"Parametric linear","Spearman SIS",14,0.1,0.110552763819095,0
"Parametric linear","Spearman SIS",14,0.2,0.192964824120603,1
"Parametric linear","Spearman SIS",14,0.3,0.301507537688442,1
"Parametric linear","mfscreen",15,0.001,0.00301507537688442,0
"Parametric linear","mfscreen",15,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",15,0.01,0.0110552763819095,1
"Parametric linear","mfscreen",15,0.025,0.0281407035175879,1
"Parametric linear","mfscreen",15,0.05,0.0492462311557789,1
"Parametric linear","mfscreen",15,0.1,0.103517587939698,1
"Parametric linear","mfscreen",15,0.2,0.205025125628141,1
"Parametric linear","mfscreen",15,0.3,0.293467336683417,1
"Parametric linear","Pearson SIS",15,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",15,0.005,0.00703517587939699,1
"Parametric linear","Pearson SIS",15,0.01,0.0100502512562814,1
"Parametric linear","Pearson SIS",15,0.025,0.0271356783919598,1
"Parametric linear","Pearson SIS",15,0.05,0.0472361809045226,1
"Parametric linear","Pearson SIS",15,0.1,0.10251256281407,1
"Parametric linear","Pearson SIS",15,0.2,0.204020100502513,1
"Parametric linear","Pearson SIS",15,0.3,0.292462311557789,1
"Parametric linear","Spearman SIS",15,0.001,0,0
"Parametric linear","Spearman SIS",15,0.005,0.00603015075376884,0
"Parametric linear","Spearman SIS",15,0.01,0.0110552763819095,0
"Parametric linear","Spearman SIS",15,0.025,0.0291457286432161,1
"Parametric linear","Spearman SIS",15,0.05,0.0532663316582915,1
"Parametric linear","Spearman SIS",15,0.1,0.0934673366834171,1
"Parametric linear","Spearman SIS",15,0.2,0.202010050251256,1
"Parametric linear","Spearman SIS",15,0.3,0.299497487437186,1
"Parametric linear","mfscreen",16,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",16,0.005,0.0050251256281407,0
"Parametric linear","mfscreen",16,0.01,0.0100502512562814,0
"Parametric linear","mfscreen",16,0.025,0.0371859296482412,1
"Parametric linear","mfscreen",16,0.05,0.0613065326633166,1
"Parametric linear","mfscreen",16,0.1,0.109547738693467,1
"Parametric linear","mfscreen",16,0.2,0.206030150753769,1
"Parametric linear","mfscreen",16,0.3,0.31356783919598,1
"Parametric linear","Pearson SIS",16,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",16,0.005,0.0050251256281407,0
"Parametric linear","Pearson SIS",16,0.01,0.0110552763819095,0
