"method","replication","q","fpr"
"Pearson SIS",64,0.1,0.367
"Pearson SIS",64,0.2,0.475
"Pearson SIS",64,0.3,0.568
"Spearman SIS",64,0.001,0.003
"Spearman SIS",64,0.005,0.015
"Spearman SIS",64,0.01,0.022
"Spearman SIS",64,0.025,0.047
"Spearman SIS",64,0.05,0.083
"Spearman SIS",64,0.1,0.147
"Spearman SIS",64,0.2,0.249
"Spearman SIS",64,0.3,0.358
"mfscreen",65,0.001,0.001
"mfscreen",65,0.005,0.006
"mfscreen",65,0.01,0.013
"mfscreen",65,0.025,0.032
"mfscreen",65,0.05,0.053
"mfscreen",65,0.1,0.103
"mfscreen",65,0.2,0.209
"mfscreen",65,0.3,0.31
"Pearson SIS",65,0.001,0.057
"Pearson SIS",65,0.005,0.102
"Pearson SIS",65,0.01,0.132
"Pearson SIS",65,0.025,0.192
"Pearson SIS",65,0.05,0.263
"Pearson SIS",65,0.1,0.355
"Pearson SIS",65,0.2,0.463
"Pearson SIS",65,0.3,0.56
"Spearman SIS",65,0.001,0.003
"Spearman SIS",65,0.005,0.008
"Spearman SIS",65,0.01,0.016
"Spearman SIS",65,0.025,0.042
"Spearman SIS",65,0.05,0.076
"Spearman SIS",65,0.1,0.135
"Spearman SIS",65,0.2,0.234
"Spearman SIS",65,0.3,0.336
"mfscreen",66,0.001,0.002
"mfscreen",66,0.005,0.007
"mfscreen",66,0.01,0.008
"mfscreen",66,0.025,0.031
"mfscreen",66,0.05,0.053
"mfscreen",66,0.1,0.118
"mfscreen",66,0.2,0.223
"mfscreen",66,0.3,0.318
"Pearson SIS",66,0.001,0.038
"Pearson SIS",66,0.005,0.083
"Pearson SIS",66,0.01,0.108
"Pearson SIS",66,0.025,0.167
"Pearson SIS",66,0.05,0.224
"Pearson SIS",66,0.1,0.305
"Pearson SIS",66,0.2,0.409
"Pearson SIS",66,0.3,0.484
"Spearman SIS",66,0.001,0.002
"Spearman SIS",66,0.005,0.008
"Spearman SIS",66,0.01,0.021
"Spearman SIS",66,0.025,0.042
"Spearman SIS",66,0.05,0.074
"Spearman SIS",66,0.1,0.13
"Spearman SIS",66,0.2,0.246
"Spearman SIS",66,0.3,0.353
"mfscreen",67,0.001,0.001
"mfscreen",67,0.005,0.007
"mfscreen",67,0.01,0.013
"mfscreen",67,0.025,0.031
"mfscreen",67,0.05,0.062
"mfscreen",67,0.1,0.116
"mfscreen",67,0.2,0.209
"mfscreen",67,0.3,0.311
"Pearson SIS",67,0.001,0.03
"Pearson SIS",67,0.005,0.065
"Pearson SIS",67,0.01,0.09
"Pearson SIS",67,0.025,0.14
"Pearson SIS",67,0.05,0.186
"Pearson SIS",67,0.1,0.268
"Pearson SIS",67,0.2,0.399
"Pearson SIS",67,0.3,0.497
"Spearman SIS",67,0.001,0.006
"Spearman SIS",67,0.005,0.011
"Spearman SIS",67,0.01,0.022
"Spearman SIS",67,0.025,0.044
"Spearman SIS",67,0.05,0.078
"Spearman SIS",67,0.1,0.145
"Spearman SIS",67,0.2,0.269
"Spearman SIS",67,0.3,0.368
"mfscreen",68,0.001,0.003
"mfscreen",68,0.005,0.008
"mfscreen",68,0.01,0.014
"mfscreen",68,0.025,0.027
"mfscreen",68,0.05,0.05
"mfscreen",68,0.1,0.1
"mfscreen",68,0.2,0.191
"mfscreen",68,0.3,0.298
"Pearson SIS",68,0.001,0.037
"Pearson SIS",68,0.005,0.07
"Pearson SIS",68,0.01,0.092
"Pearson SIS",68,0.025,0.136
"Pearson SIS",68,0.05,0.208
"Pearson SIS",68,0.1,0.289
"Pearson SIS",68,0.2,0.4
"Pearson SIS",68,0.3,0.495
"Spearman SIS",68,0.001,0.005
"Spearman SIS",68,0.005,0.008
"Spearman SIS",68,0.01,0.016
"Spearman SIS",68,0.025,0.035
"Spearman SIS",68,0.05,0.057
"Spearman SIS",68,0.1,0.099
"Spearman SIS",68,0.2,0.202
"Spearman SIS",68,0.3,0.304
"mfscreen",69,0.001,0.001
"mfscreen",69,0.005,0.006
"mfscreen",69,0.01,0.013
"mfscreen",69,0.025,0.026
"mfscreen",69,0.05,0.054
"mfscreen",69,0.1,0.114
"mfscreen",69,0.2,0.217
"mfscreen",69,0.3,0.33
"Pearson SIS",69,0.001,0.032
"Pearson SIS",69,0.005,0.07
"Pearson SIS",69,0.01,0.111
"Pearson SIS",69,0.025,0.153
"Pearson SIS",69,0.05,0.225
"Pearson SIS",69,0.1,0.317
"Pearson SIS",69,0.2,0.436
"Pearson SIS",69,0.3,0.536
"Spearman SIS",69,0.001,0.003
"Spearman SIS",69,0.005,0.016
"Spearman SIS",69,0.01,0.021
"Spearman SIS",69,0.025,0.045
"Spearman SIS",69,0.05,0.073
"Spearman SIS",69,0.1,0.123
"Spearman SIS",69,0.2,0.237
"Spearman SIS",69,0.3,0.353
"mfscreen",70,0.001,0.001
"mfscreen",70,0.005,0.004
"mfscreen",70,0.01,0.01
"mfscreen",70,0.025,0.033
"mfscreen",70,0.05,0.064
"mfscreen",70,0.1,0.113
"mfscreen",70,0.2,0.209
"mfscreen",70,0.3,0.305
"Pearson SIS",70,0.001,0.04
"Pearson SIS",70,0.005,0.081
"Pearson SIS",70,0.01,0.107
"Pearson SIS",70,0.025,0.155
"Pearson SIS",70,0.05,0.215
"Pearson SIS",70,0.1,0.285
"Pearson SIS",70,0.2,0.387
"Pearson SIS",70,0.3,0.491
"Spearman SIS",70,0.001,0.001
"Spearman SIS",70,0.005,0.01
"Spearman SIS",70,0.01,0.017
"Spearman SIS",70,0.025,0.032
"Spearman SIS",70,0.05,0.059
"Spearman SIS",70,0.1,0.119
"Spearman SIS",70,0.2,0.228
"Spearman SIS",70,0.3,0.326
"mfscreen",71,0.001,0.003
"mfscreen",71,0.005,0.007
"mfscreen",71,0.01,0.013
"mfscreen",71,0.025,0.024
"mfscreen",71,0.05,0.052
"mfscreen",71,0.1,0.113
"mfscreen",71,0.2,0.225
"mfscreen",71,0.3,0.321
"Pearson SIS",71,0.001,0.056
"Pearson SIS",71,0.005,0.107
"Pearson SIS",71,0.01,0.14
"Pearson SIS",71,0.025,0.21
"Pearson SIS",71,0.05,0.282
"Pearson SIS",71,0.1,0.35
"Pearson SIS",71,0.2,0.473
"Pearson SIS",71,0.3,0.553
"Spearman SIS",71,0.001,0.004
"Spearman SIS",71,0.005,0.012
"Spearman SIS",71,0.01,0.025
"Spearman SIS",71,0.025,0.051
"Spearman SIS",71,0.05,0.086
"Spearman SIS",71,0.1,0.131
"Spearman SIS",71,0.2,0.251
"Spearman SIS",71,0.3,0.337
"mfscreen",72,0.001,0
"mfscreen",72,0.005,0.003
"mfscreen",72,0.01,0.009
"mfscreen",72,0.025,0.024
"mfscreen",72,0.05,0.049
"mfscreen",72,0.1,0.096
"mfscreen",72,0.2,0.212
"mfscreen",72,0.3,0.329
"Pearson SIS",72,0.001,0.082
"Pearson SIS",72,0.005,0.136
"Pearson SIS",72,0.01,0.186
"Pearson SIS",72,0.025,0.235
"Pearson SIS",72,0.05,0.292
"Pearson SIS",72,0.1,0.373
"Pearson SIS",72,0.2,0.497
"Pearson SIS",72,0.3,0.58
"Spearman SIS",72,0.001,0.001
"Spearman SIS",72,0.005,0.013
"Spearman SIS",72,0.01,0.02
"Spearman SIS",72,0.025,0.039
"Spearman SIS",72,0.05,0.072
"Spearman SIS",72,0.1,0.129
"Spearman SIS",72,0.2,0.23
"Spearman SIS",72,0.3,0.351
"mfscreen",73,0.001,0
"mfscreen",73,0.005,0.004
"mfscreen",73,0.01,0.01
"mfscreen",73,0.025,0.035
"mfscreen",73,0.05,0.062
"mfscreen",73,0.1,0.116
"mfscreen",73,0.2,0.206
"mfscreen",73,0.3,0.321
"Pearson SIS",73,0.001,0.045
"Pearson SIS",73,0.005,0.088
"Pearson SIS",73,0.01,0.119
"Pearson SIS",73,0.025,0.172
"Pearson SIS",73,0.05,0.235
"Pearson SIS",73,0.1,0.322
"Pearson SIS",73,0.2,0.448
"Pearson SIS",73,0.3,0.536
"Spearman SIS",73,0.001,0.004
"Spearman SIS",73,0.005,0.012
"Spearman SIS",73,0.01,0.018
"Spearman SIS",73,0.025,0.037
"Spearman SIS",73,0.05,0.069
"Spearman SIS",73,0.1,0.138
"Spearman SIS",73,0.2,0.239
"Spearman SIS",73,0.3,0.348
"mfscreen",74,0.001,0.001
"mfscreen",74,0.005,0.006
"mfscreen",74,0.01,0.012
"mfscreen",74,0.025,0.027
"mfscreen",74,0.05,0.045
"mfscreen",74,0.1,0.086
"mfscreen",74,0.2,0.193
"mfscreen",74,0.3,0.288
"Pearson SIS",74,0.001,0.03
"Pearson SIS",74,0.005,0.06
"Pearson SIS",74,0.01,0.079
"Pearson SIS",74,0.025,0.133
"Pearson SIS",74,0.05,0.189
"Pearson SIS",74,0.1,0.276
"Pearson SIS",74,0.2,0.399
"Pearson SIS",74,0.3,0.502
"Spearman SIS",74,0.001,0.001
"Spearman SIS",74,0.005,0.006
"Spearman SIS",74,0.01,0.012
"Spearman SIS",74,0.025,0.041
"Spearman SIS",74,0.05,0.058
"Spearman SIS",74,0.1,0.119
"Spearman SIS",74,0.2,0.24
"Spearman SIS",74,0.3,0.342
"mfscreen",75,0.001,0.001
"mfscreen",75,0.005,0.003
"mfscreen",75,0.01,0.005
"mfscreen",75,0.025,0.018
"mfscreen",75,0.05,0.042
"mfscreen",75,0.1,0.095
"mfscreen",75,0.2,0.201
"mfscreen",75,0.3,0.295
"Pearson SIS",75,0.001,0.021
"Pearson SIS",75,0.005,0.058
"Pearson SIS",75,0.01,0.092
"Pearson SIS",75,0.025,0.132
"Pearson SIS",75,0.05,0.195
"Pearson SIS",75,0.1,0.278
"Pearson SIS",75,0.2,0.393
"Pearson SIS",75,0.3,0.49
"Spearman SIS",75,0.001,0.001
"Spearman SIS",75,0.005,0.006
"Spearman SIS",75,0.01,0.015
"Spearman SIS",75,0.025,0.038
"Spearman SIS",75,0.05,0.059
"Spearman SIS",75,0.1,0.121
"Spearman SIS",75,0.2,0.223
"Spearman SIS",75,0.3,0.338
"mfscreen",76,0.001,0
"mfscreen",76,0.005,0.004
"mfscreen",76,0.01,0.013
"mfscreen",76,0.025,0.031
"mfscreen",76,0.05,0.048
"mfscreen",76,0.1,0.11
"mfscreen",76,0.2,0.212
"mfscreen",76,0.3,0.299
"Pearson SIS",76,0.001,0.033
"Pearson SIS",76,0.005,0.075
"Pearson SIS",76,0.01,0.099
"Pearson SIS",76,0.025,0.154
"Pearson SIS",76,0.05,0.213
"Pearson SIS",76,0.1,0.284
"Pearson SIS",76,0.2,0.407
"Pearson SIS",76,0.3,0.511
"Spearman SIS",76,0.001,0.005
"Spearman SIS",76,0.005,0.016
"Spearman SIS",76,0.01,0.021
"Spearman SIS",76,0.025,0.037
"Spearman SIS",76,0.05,0.076
"Spearman SIS",76,0.1,0.142
"Spearman SIS",76,0.2,0.253
"Spearman SIS",76,0.3,0.349
"mfscreen",77,0.001,0.003
"mfscreen",77,0.005,0.01
"mfscreen",77,0.01,0.014
"mfscreen",77,0.025,0.033
"mfscreen",77,0.05,0.058
"mfscreen",77,0.1,0.11
"mfscreen",77,0.2,0.213
"mfscreen",77,0.3,0.304
"Pearson SIS",77,0.001,0.038
"Pearson SIS",77,0.005,0.074
"Pearson SIS",77,0.01,0.101
"Pearson SIS",77,0.025,0.152
"Pearson SIS",77,0.05,0.229
"Pearson SIS",77,0.1,0.295
"Pearson SIS",77,0.2,0.401
"Pearson SIS",77,0.3,0.514
"Spearman SIS",77,0.001,0.004
"Spearman SIS",77,0.005,0.009
"Spearman SIS",77,0.01,0.022
"Spearman SIS",77,0.025,0.051
"Spearman SIS",77,0.05,0.078
"Spearman SIS",77,0.1,0.146
"Spearman SIS",77,0.2,0.244
"Spearman SIS",77,0.3,0.346
"mfscreen",78,0.001,0.001
"mfscreen",78,0.005,0.002
"mfscreen",78,0.01,0.007
"mfscreen",78,0.025,0.022
"mfscreen",78,0.05,0.054
"mfscreen",78,0.1,0.094
"mfscreen",78,0.2,0.201
"mfscreen",78,0.3,0.295
"Pearson SIS",78,0.001,0.03
"Pearson SIS",78,0.005,0.069
"Pearson SIS",78,0.01,0.095
"Pearson SIS",78,0.025,0.144
"Pearson SIS",78,0.05,0.199
"Pearson SIS",78,0.1,0.288
"Pearson SIS",78,0.2,0.405
"Pearson SIS",78,0.3,0.495
"Spearman SIS",78,0.001,0.001
"Spearman SIS",78,0.005,0.006
"Spearman SIS",78,0.01,0.017
"Spearman SIS",78,0.025,0.032
"Spearman SIS",78,0.05,0.065
"Spearman SIS",78,0.1,0.126
"Spearman SIS",78,0.2,0.257
"Spearman SIS",78,0.3,0.353
"mfscreen",79,0.001,0.001
"mfscreen",79,0.005,0.006
"mfscreen",79,0.01,0.009
"mfscreen",79,0.025,0.017
"mfscreen",79,0.05,0.047
"mfscreen",79,0.1,0.097
"mfscreen",79,0.2,0.213
"mfscreen",79,0.3,0.319
"Pearson SIS",79,0.001,0.016
"Pearson SIS",79,0.005,0.04
"Pearson SIS",79,0.01,0.07
"Pearson SIS",79,0.025,0.124
"Pearson SIS",79,0.05,0.189
"Pearson SIS",79,0.1,0.261
"Pearson SIS",79,0.2,0.392
"Pearson SIS",79,0.3,0.462
"Spearman SIS",79,0.001,0.002
"Spearman SIS",79,0.005,0.008
"Spearman SIS",79,0.01,0.018
"Spearman SIS",79,0.025,0.041
"Spearman SIS",79,0.05,0.067
"Spearman SIS",79,0.1,0.122
"Spearman SIS",79,0.2,0.229
"Spearman SIS",79,0.3,0.332
"mfscreen",80,0.001,0
"mfscreen",80,0.005,0.005
"mfscreen",80,0.01,0.01
"mfscreen",80,0.025,0.029
"mfscreen",80,0.05,0.053
"mfscreen",80,0.1,0.105
"mfscreen",80,0.2,0.204
"mfscreen",80,0.3,0.302
"Pearson SIS",80,0.001,0.044
"Pearson SIS",80,0.005,0.081
"Pearson SIS",80,0.01,0.099
"Pearson SIS",80,0.025,0.168
"Pearson SIS",80,0.05,0.236
"Pearson SIS",80,0.1,0.317
"Pearson SIS",80,0.2,0.404
"Pearson SIS",80,0.3,0.498
"Spearman SIS",80,0.001,0.001
"Spearman SIS",80,0.005,0.007
"Spearman SIS",80,0.01,0.018
"Spearman SIS",80,0.025,0.031
"Spearman SIS",80,0.05,0.072
"Spearman SIS",80,0.1,0.136
"Spearman SIS",80,0.2,0.248
"Spearman SIS",80,0.3,0.373
"mfscreen",81,0.001,0.002
"mfscreen",81,0.005,0.007
"mfscreen",81,0.01,0.015
"mfscreen",81,0.025,0.033
"mfscreen",81,0.05,0.056
"mfscreen",81,0.1,0.099
"mfscreen",81,0.2,0.193
"mfscreen",81,0.3,0.297
"Pearson SIS",81,0.001,0.049
"Pearson SIS",81,0.005,0.087
"Pearson SIS",81,0.01,0.118
"Pearson SIS",81,0.025,0.177
"Pearson SIS",81,0.05,0.227
"Pearson SIS",81,0.1,0.323
"Pearson SIS",81,0.2,0.433
"Pearson SIS",81,0.3,0.534
"Spearman SIS",81,0.001,0.005
"Spearman SIS",81,0.005,0.011
"Spearman SIS",81,0.01,0.022
"Spearman SIS",81,0.025,0.043
"Spearman SIS",81,0.05,0.082
"Spearman SIS",81,0.1,0.148
"Spearman SIS",81,0.2,0.25
"Spearman SIS",81,0.3,0.359
"mfscreen",82,0.001,0.002
"mfscreen",82,0.005,0.003
"mfscreen",82,0.01,0.007
"mfscreen",82,0.025,0.023
"mfscreen",82,0.05,0.048
"mfscreen",82,0.1,0.105
"mfscreen",82,0.2,0.209
"mfscreen",82,0.3,0.311
"Pearson SIS",82,0.001,0.039
"Pearson SIS",82,0.005,0.09
"Pearson SIS",82,0.01,0.111
"Pearson SIS",82,0.025,0.161
"Pearson SIS",82,0.05,0.234
"Pearson SIS",82,0.1,0.308
"Pearson SIS",82,0.2,0.43
"Pearson SIS",82,0.3,0.519
"Spearman SIS",82,0.001,0.005
"Spearman SIS",82,0.005,0.011
"Spearman SIS",82,0.01,0.022
"Spearman SIS",82,0.025,0.031
"Spearman SIS",82,0.05,0.07
"Spearman SIS",82,0.1,0.128
"Spearman SIS",82,0.2,0.238
"Spearman SIS",82,0.3,0.323
"mfscreen",83,0.001,0.004
"mfscreen",83,0.005,0.012
"mfscreen",83,0.01,0.018
"mfscreen",83,0.025,0.024
"mfscreen",83,0.05,0.044
"mfscreen",83,0.1,0.093
"mfscreen",83,0.2,0.196
"mfscreen",83,0.3,0.299
"Pearson SIS",83,0.001,0.032
"Pearson SIS",83,0.005,0.075
"Pearson SIS",83,0.01,0.107
"Pearson SIS",83,0.025,0.157
"Pearson SIS",83,0.05,0.228
"Pearson SIS",83,0.1,0.301
"Pearson SIS",83,0.2,0.422
"Pearson SIS",83,0.3,0.522
"Spearman SIS",83,0.001,0.002
"Spearman SIS",83,0.005,0.01
"Spearman SIS",83,0.01,0.021
"Spearman SIS",83,0.025,0.044
"Spearman SIS",83,0.05,0.074
"Spearman SIS",83,0.1,0.117
"Spearman SIS",83,0.2,0.232
"Spearman SIS",83,0.3,0.345
"mfscreen",84,0.001,0.001
"mfscreen",84,0.005,0.008
"mfscreen",84,0.01,0.011
"mfscreen",84,0.025,0.032
"mfscreen",84,0.05,0.056
"mfscreen",84,0.1,0.1
"mfscreen",84,0.2,0.21
"mfscreen",84,0.3,0.311
"Pearson SIS",84,0.001,0.034
"Pearson SIS",84,0.005,0.062
"Pearson SIS",84,0.01,0.088
"Pearson SIS",84,0.025,0.137
"Pearson SIS",84,0.05,0.194
"Pearson SIS",84,0.1,0.282
"Pearson SIS",84,0.2,0.413
"Pearson SIS",84,0.3,0.499
"Spearman SIS",84,0.001,0.001
"Spearman SIS",84,0.005,0.005
"Spearman SIS",84,0.01,0.014
"Spearman SIS",84,0.025,0.042
"Spearman SIS",84,0.05,0.073
"Spearman SIS",84,0.1,0.128
"Spearman SIS",84,0.2,0.235
"Spearman SIS",84,0.3,0.33
"mfscreen",85,0.001,0.002
"mfscreen",85,0.005,0.004
"mfscreen",85,0.01,0.012
"mfscreen",85,0.025,0.033
"mfscreen",85,0.05,0.055
"mfscreen",85,0.1,0.097
"mfscreen",85,0.2,0.199
"mfscreen",85,0.3,0.305
"Pearson SIS",85,0.001,0.045
"Pearson SIS",85,0.005,0.081
"Pearson SIS",85,0.01,0.103
"Pearson SIS",85,0.025,0.167
"Pearson SIS",85,0.05,0.233
"Pearson SIS",85,0.1,0.319
"Pearson SIS",85,0.2,0.427
"Pearson SIS",85,0.3,0.523
"Spearman SIS",85,0.001,0.002
"Spearman SIS",85,0.005,0.006
"Spearman SIS",85,0.01,0.015
"Spearman SIS",85,0.025,0.041
"Spearman SIS",85,0.05,0.074
"Spearman SIS",85,0.1,0.133
"Spearman SIS",85,0.2,0.24
"Spearman SIS",85,0.3,0.342
"mfscreen",86,0.001,0.002
"mfscreen",86,0.005,0.006
"mfscreen",86,0.01,0.012
"mfscreen",86,0.025,0.03
"mfscreen",86,0.05,0.054
"mfscreen",86,0.1,0.112
"mfscreen",86,0.2,0.207
"mfscreen",86,0.3,0.316
"Pearson SIS",86,0.001,0.025
"Pearson SIS",86,0.005,0.048
"Pearson SIS",86,0.01,0.069
"Pearson SIS",86,0.025,0.124
"Pearson SIS",86,0.05,0.18
"Pearson SIS",86,0.1,0.25
"Pearson SIS",86,0.2,0.381
"Pearson SIS",86,0.3,0.488
"Spearman SIS",86,0.001,0.002
"Spearman SIS",86,0.005,0.013
"Spearman SIS",86,0.01,0.019
"Spearman SIS",86,0.025,0.05
"Spearman SIS",86,0.05,0.076
"Spearman SIS",86,0.1,0.138
"Spearman SIS",86,0.2,0.24
"Spearman SIS",86,0.3,0.346
"mfscreen",87,0.001,0.001
"mfscreen",87,0.005,0.006
"mfscreen",87,0.01,0.008
"mfscreen",87,0.025,0.024
"mfscreen",87,0.05,0.048
"mfscreen",87,0.1,0.092
"mfscreen",87,0.2,0.197
"mfscreen",87,0.3,0.304
"Pearson SIS",87,0.001,0.042
"Pearson SIS",87,0.005,0.073
"Pearson SIS",87,0.01,0.11
"Pearson SIS",87,0.025,0.165
"Pearson SIS",87,0.05,0.211
"Pearson SIS",87,0.1,0.3
"Pearson SIS",87,0.2,0.416
"Pearson SIS",87,0.3,0.518
"Spearman SIS",87,0.001,0.003
"Spearman SIS",87,0.005,0.015
"Spearman SIS",87,0.01,0.024
"Spearman SIS",87,0.025,0.041
"Spearman SIS",87,0.05,0.069
"Spearman SIS",87,0.1,0.125
"Spearman SIS",87,0.2,0.23
"Spearman SIS",87,0.3,0.322
"mfscreen",88,0.001,0.003
"mfscreen",88,0.005,0.006
"mfscreen",88,0.01,0.015
"mfscreen",88,0.025,0.033
"mfscreen",88,0.05,0.068
"mfscreen",88,0.1,0.121
"mfscreen",88,0.2,0.217
"mfscreen",88,0.3,0.314
"Pearson SIS",88,0.001,0.041
"Pearson SIS",88,0.005,0.08
"Pearson SIS",88,0.01,0.109
"Pearson SIS",88,0.025,0.164
"Pearson SIS",88,0.05,0.224
"Pearson SIS",88,0.1,0.304
"Pearson SIS",88,0.2,0.414
"Pearson SIS",88,0.3,0.504
"Spearman SIS",88,0.001,0.001
"Spearman SIS",88,0.005,0.016
"Spearman SIS",88,0.01,0.025
"Spearman SIS",88,0.025,0.05
"Spearman SIS",88,0.05,0.079
"Spearman SIS",88,0.1,0.146
"Spearman SIS",88,0.2,0.25
"Spearman SIS",88,0.3,0.35
"mfscreen",89,0.001,0.001
"mfscreen",89,0.005,0.003
"mfscreen",89,0.01,0.014
"mfscreen",89,0.025,0.029
"mfscreen",89,0.05,0.048
"mfscreen",89,0.1,0.097
"mfscreen",89,0.2,0.224
"mfscreen",89,0.3,0.332
"Pearson SIS",89,0.001,0.061
"Pearson SIS",89,0.005,0.111
"Pearson SIS",89,0.01,0.148
"Pearson SIS",89,0.025,0.223
"Pearson SIS",89,0.05,0.289
"Pearson SIS",89,0.1,0.36
"Pearson SIS",89,0.2,0.493
"Pearson SIS",89,0.3,0.569
"Spearman SIS",89,0.001,0.002
"Spearman SIS",89,0.005,0.01
"Spearman SIS",89,0.01,0.019
"Spearman SIS",89,0.025,0.045
"Spearman SIS",89,0.05,0.073
"Spearman SIS",89,0.1,0.132
"Spearman SIS",89,0.2,0.252
"Spearman SIS",89,0.3,0.372
"mfscreen",90,0.001,0.002
"mfscreen",90,0.005,0.006
"mfscreen",90,0.01,0.013
"mfscreen",90,0.025,0.028
"mfscreen",90,0.05,0.048
"mfscreen",90,0.1,0.093
"mfscreen",90,0.2,0.2
"mfscreen",90,0.3,0.309
"Pearson SIS",90,0.001,0.04
"Pearson SIS",90,0.005,0.07
"Pearson SIS",90,0.01,0.099
"Pearson SIS",90,0.025,0.152
"Pearson SIS",90,0.05,0.213
"Pearson SIS",90,0.1,0.303
"Pearson SIS",90,0.2,0.433
"Pearson SIS",90,0.3,0.518
"Spearman SIS",90,0.001,0.001
"Spearman SIS",90,0.005,0.009
"Spearman SIS",90,0.01,0.012
"Spearman SIS",90,0.025,0.031
"Spearman SIS",90,0.05,0.063
"Spearman SIS",90,0.1,0.115
"Spearman SIS",90,0.2,0.222
"Spearman SIS",90,0.3,0.332
"mfscreen",91,0.001,0.001
"mfscreen",91,0.005,0.006
"mfscreen",91,0.01,0.012
"mfscreen",91,0.025,0.025
"mfscreen",91,0.05,0.05
"mfscreen",91,0.1,0.096
"mfscreen",91,0.2,0.203
"mfscreen",91,0.3,0.31
"Pearson SIS",91,0.001,0.025
"Pearson SIS",91,0.005,0.061
"Pearson SIS",91,0.01,0.081
"Pearson SIS",91,0.025,0.128
"Pearson SIS",91,0.05,0.188
"Pearson SIS",91,0.1,0.278
"Pearson SIS",91,0.2,0.39
"Pearson SIS",91,0.3,0.471
"Spearman SIS",91,0.001,0.002
"Spearman SIS",91,0.005,0.009
"Spearman SIS",91,0.01,0.017
"Spearman SIS",91,0.025,0.039
"Spearman SIS",91,0.05,0.073
"Spearman SIS",91,0.1,0.14
"Spearman SIS",91,0.2,0.244
"Spearman SIS",91,0.3,0.359
"mfscreen",92,0.001,0.001
"mfscreen",92,0.005,0.006
"mfscreen",92,0.01,0.014
"mfscreen",92,0.025,0.029
"mfscreen",92,0.05,0.065
"mfscreen",92,0.1,0.115
"mfscreen",92,0.2,0.204
"mfscreen",92,0.3,0.286
"Pearson SIS",92,0.001,0.032
"Pearson SIS",92,0.005,0.076
"Pearson SIS",92,0.01,0.101
"Pearson SIS",92,0.025,0.14
"Pearson SIS",92,0.05,0.187
"Pearson SIS",92,0.1,0.268
"Pearson SIS",92,0.2,0.394
"Pearson SIS",92,0.3,0.489
"Spearman SIS",92,0.001,0.003
"Spearman SIS",92,0.005,0.012
"Spearman SIS",92,0.01,0.02
"Spearman SIS",92,0.025,0.046
"Spearman SIS",92,0.05,0.081
"Spearman SIS",92,0.1,0.141
"Spearman SIS",92,0.2,0.236
"Spearman SIS",92,0.3,0.351
"mfscreen",93,0.001,0.001
"mfscreen",93,0.005,0.009
"mfscreen",93,0.01,0.011
"mfscreen",93,0.025,0.025
"mfscreen",93,0.05,0.052
"mfscreen",93,0.1,0.122
"mfscreen",93,0.2,0.223
"mfscreen",93,0.3,0.31
"Pearson SIS",93,0.001,0.036
"Pearson SIS",93,0.005,0.093
"Pearson SIS",93,0.01,0.129
"Pearson SIS",93,0.025,0.175
"Pearson SIS",93,0.05,0.241
"Pearson SIS",93,0.1,0.315
"Pearson SIS",93,0.2,0.434
"Pearson SIS",93,0.3,0.517
"Spearman SIS",93,0.001,0.002
"Spearman SIS",93,0.005,0.013
"Spearman SIS",93,0.01,0.019
"Spearman SIS",93,0.025,0.039
"Spearman SIS",93,0.05,0.07
"Spearman SIS",93,0.1,0.138
"Spearman SIS",93,0.2,0.24
"Spearman SIS",93,0.3,0.339
"mfscreen",94,0.001,0.001
"mfscreen",94,0.005,0.009
"mfscreen",94,0.01,0.017
"mfscreen",94,0.025,0.027
"mfscreen",94,0.05,0.055
"mfscreen",94,0.1,0.111
"mfscreen",94,0.2,0.223
"mfscreen",94,0.3,0.309
"Pearson SIS",94,0.001,0.053
"Pearson SIS",94,0.005,0.104
"Pearson SIS",94,0.01,0.127
"Pearson SIS",94,0.025,0.187
"Pearson SIS",94,0.05,0.258
"Pearson SIS",94,0.1,0.326
"Pearson SIS",94,0.2,0.44
"Pearson SIS",94,0.3,0.53
"Spearman SIS",94,0.001,0.003
"Spearman SIS",94,0.005,0.007
"Spearman SIS",94,0.01,0.014
"Spearman SIS",94,0.025,0.038
"Spearman SIS",94,0.05,0.072
"Spearman SIS",94,0.1,0.136
"Spearman SIS",94,0.2,0.245
"Spearman SIS",94,0.3,0.356
"mfscreen",95,0.001,0
"mfscreen",95,0.005,0.002
"mfscreen",95,0.01,0.007
"mfscreen",95,0.025,0.023
"mfscreen",95,0.05,0.046
"mfscreen",95,0.1,0.108
"mfscreen",95,0.2,0.22
"mfscreen",95,0.3,0.317
"Pearson SIS",95,0.001,0.078
"Pearson SIS",95,0.005,0.117
"Pearson SIS",95,0.01,0.16
"Pearson SIS",95,0.025,0.23
"Pearson SIS",95,0.05,0.286
"Pearson SIS",95,0.1,0.377
"Pearson SIS",95,0.2,0.487
"Pearson SIS",95,0.3,0.559
"Spearman SIS",95,0.001,0.001
"Spearman SIS",95,0.005,0.01
"Spearman SIS",95,0.01,0.019
"Spearman SIS",95,0.025,0.04
"Spearman SIS",95,0.05,0.07
"Spearman SIS",95,0.1,0.128
"Spearman SIS",95,0.2,0.231
"Spearman SIS",95,0.3,0.345
"mfscreen",96,0.001,0.002
"mfscreen",96,0.005,0.008
"mfscreen",96,0.01,0.013
"mfscreen",96,0.025,0.032
"mfscreen",96,0.05,0.062
"mfscreen",96,0.1,0.111
"mfscreen",96,0.2,0.201
"mfscreen",96,0.3,0.295
