"method","replication","q","fpr"
"mfscreen",11,0.005,0.002
"mfscreen",11,0.01,0.009
"mfscreen",11,0.025,0.026
"mfscreen",11,0.05,0.05
"mfscreen",11,0.1,0.103
"mfscreen",11,0.2,0.2
"mfscreen",11,0.3,0.278
"Pearson SIS",11,0.001,0.036
"Pearson SIS",11,0.005,0.083
"Pearson SIS",11,0.01,0.107
"Pearson SIS",11,0.025,0.154
"Pearson SIS",11,0.05,0.208
"Pearson SIS",11,0.1,0.28
"Pearson SIS",11,0.2,0.406
"Pearson SIS",11,0.3,0.494
"Spearman SIS",11,0.001,0.003
"Spearman SIS",11,0.005,0.006
"Spearman SIS",11,0.01,0.014
"Spearman SIS",11,0.025,0.036
"Spearman SIS",11,0.05,0.066
"Spearman SIS",11,0.1,0.125
"Spearman SIS",11,0.2,0.24
"Spearman SIS",11,0.3,0.332
"mfscreen",12,0.001,0.001
"mfscreen",12,0.005,0.005
"mfscreen",12,0.01,0.013
"mfscreen",12,0.025,0.028
"mfscreen",12,0.05,0.055
"mfscreen",12,0.1,0.107
"mfscreen",12,0.2,0.207
"mfscreen",12,0.3,0.304
"Pearson SIS",12,0.001,0.035
"Pearson SIS",12,0.005,0.072
"Pearson SIS",12,0.01,0.104
"Pearson SIS",12,0.025,0.148
"Pearson SIS",12,0.05,0.204
"Pearson SIS",12,0.1,0.291
"Pearson SIS",12,0.2,0.413
"Pearson SIS",12,0.3,0.502
"Spearman SIS",12,0.001,0.006
"Spearman SIS",12,0.005,0.011
"Spearman SIS",12,0.01,0.018
"Spearman SIS",12,0.025,0.04
"Spearman SIS",12,0.05,0.071
"Spearman SIS",12,0.1,0.131
"Spearman SIS",12,0.2,0.236
"Spearman SIS",12,0.3,0.338
"mfscreen",13,0.001,0.001
"mfscreen",13,0.005,0.006
"mfscreen",13,0.01,0.011
"mfscreen",13,0.025,0.041
"mfscreen",13,0.05,0.068
"mfscreen",13,0.1,0.123
"mfscreen",13,0.2,0.208
"mfscreen",13,0.3,0.325
"Pearson SIS",13,0.001,0.06
"Pearson SIS",13,0.005,0.102
"Pearson SIS",13,0.01,0.13
"Pearson SIS",13,0.025,0.189
"Pearson SIS",13,0.05,0.242
"Pearson SIS",13,0.1,0.331
"Pearson SIS",13,0.2,0.447
"Pearson SIS",13,0.3,0.537
"Spearman SIS",13,0.001,0
"Spearman SIS",13,0.005,0.009
"Spearman SIS",13,0.01,0.022
"Spearman SIS",13,0.025,0.034
"Spearman SIS",13,0.05,0.072
"Spearman SIS",13,0.1,0.13
"Spearman SIS",13,0.2,0.253
"Spearman SIS",13,0.3,0.357
"mfscreen",14,0.001,0
"mfscreen",14,0.005,0.01
"mfscreen",14,0.01,0.015
"mfscreen",14,0.025,0.029
"mfscreen",14,0.05,0.05
"mfscreen",14,0.1,0.1
"mfscreen",14,0.2,0.208
"mfscreen",14,0.3,0.305
"Pearson SIS",14,0.001,0.088
"Pearson SIS",14,0.005,0.143
"Pearson SIS",14,0.01,0.18
"Pearson SIS",14,0.025,0.245
"Pearson SIS",14,0.05,0.315
"Pearson SIS",14,0.1,0.389
"Pearson SIS",14,0.2,0.505
"Pearson SIS",14,0.3,0.589
"Spearman SIS",14,0.001,0.002
"Spearman SIS",14,0.005,0.007
"Spearman SIS",14,0.01,0.02
"Spearman SIS",14,0.025,0.046
"Spearman SIS",14,0.05,0.079
"Spearman SIS",14,0.1,0.136
"Spearman SIS",14,0.2,0.252
"Spearman SIS",14,0.3,0.355
"mfscreen",15,0.001,0
"mfscreen",15,0.005,0.004
"mfscreen",15,0.01,0.01
"mfscreen",15,0.025,0.025
"mfscreen",15,0.05,0.049
"mfscreen",15,0.1,0.1
"mfscreen",15,0.2,0.196
"mfscreen",15,0.3,0.301
"Pearson SIS",15,0.001,0.027
"Pearson SIS",15,0.005,0.058
"Pearson SIS",15,0.01,0.088
"Pearson SIS",15,0.025,0.136
"Pearson SIS",15,0.05,0.192
"Pearson SIS",15,0.1,0.283
"Pearson SIS",15,0.2,0.39
"Pearson SIS",15,0.3,0.496
"Spearman SIS",15,0.001,0.002
"Spearman SIS",15,0.005,0.009
"Spearman SIS",15,0.01,0.012
"Spearman SIS",15,0.025,0.04
"Spearman SIS",15,0.05,0.071
"Spearman SIS",15,0.1,0.135
"Spearman SIS",15,0.2,0.241
"Spearman SIS",15,0.3,0.332
"mfscreen",16,0.001,0.003
"mfscreen",16,0.005,0.006
"mfscreen",16,0.01,0.011
"mfscreen",16,0.025,0.024
"mfscreen",16,0.05,0.058
"mfscreen",16,0.1,0.095
"mfscreen",16,0.2,0.192
"mfscreen",16,0.3,0.284
"Pearson SIS",16,0.001,0.026
"Pearson SIS",16,0.005,0.062
"Pearson SIS",16,0.01,0.082
"Pearson SIS",16,0.025,0.126
"Pearson SIS",16,0.05,0.181
"Pearson SIS",16,0.1,0.256
"Pearson SIS",16,0.2,0.384
"Pearson SIS",16,0.3,0.469
"Spearman SIS",16,0.001,0.004
"Spearman SIS",16,0.005,0.017
"Spearman SIS",16,0.01,0.02
"Spearman SIS",16,0.025,0.037
"Spearman SIS",16,0.05,0.081
"Spearman SIS",16,0.1,0.113
"Spearman SIS",16,0.2,0.224
"Spearman SIS",16,0.3,0.33
"mfscreen",17,0.001,0.002
"mfscreen",17,0.005,0.006
"mfscreen",17,0.01,0.012
"mfscreen",17,0.025,0.028
"mfscreen",17,0.05,0.051
"mfscreen",17,0.1,0.102
"mfscreen",17,0.2,0.187
"mfscreen",17,0.3,0.287
"Pearson SIS",17,0.001,0.03
"Pearson SIS",17,0.005,0.067
"Pearson SIS",17,0.01,0.094
"Pearson SIS",17,0.025,0.13
"Pearson SIS",17,0.05,0.18
"Pearson SIS",17,0.1,0.255
"Pearson SIS",17,0.2,0.384
"Pearson SIS",17,0.3,0.485
"Spearman SIS",17,0.001,0.002
"Spearman SIS",17,0.005,0.009
"Spearman SIS",17,0.01,0.014
"Spearman SIS",17,0.025,0.043
"Spearman SIS",17,0.05,0.079
"Spearman SIS",17,0.1,0.14
"Spearman SIS",17,0.2,0.237
"Spearman SIS",17,0.3,0.332
"mfscreen",18,0.001,0
"mfscreen",18,0.005,0.004
"mfscreen",18,0.01,0.011
"mfscreen",18,0.025,0.033
"mfscreen",18,0.05,0.063
"mfscreen",18,0.1,0.113
"mfscreen",18,0.2,0.229
"mfscreen",18,0.3,0.337
"Pearson SIS",18,0.001,0.071
"Pearson SIS",18,0.005,0.133
"Pearson SIS",18,0.01,0.169
"Pearson SIS",18,0.025,0.233
"Pearson SIS",18,0.05,0.307
"Pearson SIS",18,0.1,0.392
"Pearson SIS",18,0.2,0.501
"Pearson SIS",18,0.3,0.599
"Spearman SIS",18,0.001,0.005
"Spearman SIS",18,0.005,0.012
"Spearman SIS",18,0.01,0.017
"Spearman SIS",18,0.025,0.031
"Spearman SIS",18,0.05,0.069
"Spearman SIS",18,0.1,0.131
"Spearman SIS",18,0.2,0.244
"Spearman SIS",18,0.3,0.344
"mfscreen",19,0.001,0
"mfscreen",19,0.005,0.004
"mfscreen",19,0.01,0.009
"mfscreen",19,0.025,0.028
"mfscreen",19,0.05,0.047
"mfscreen",19,0.1,0.103
"mfscreen",19,0.2,0.206
"mfscreen",19,0.3,0.288
"Pearson SIS",19,0.001,0.034
"Pearson SIS",19,0.005,0.061
"Pearson SIS",19,0.01,0.09
"Pearson SIS",19,0.025,0.147
"Pearson SIS",19,0.05,0.201
"Pearson SIS",19,0.1,0.265
"Pearson SIS",19,0.2,0.384
"Pearson SIS",19,0.3,0.487
"Spearman SIS",19,0.001,0.003
"Spearman SIS",19,0.005,0.007
"Spearman SIS",19,0.01,0.012
"Spearman SIS",19,0.025,0.034
"Spearman SIS",19,0.05,0.064
"Spearman SIS",19,0.1,0.122
"Spearman SIS",19,0.2,0.23
"Spearman SIS",19,0.3,0.34
"mfscreen",20,0.001,0
"mfscreen",20,0.005,0.004
"mfscreen",20,0.01,0.007
"mfscreen",20,0.025,0.024
"mfscreen",20,0.05,0.054
"mfscreen",20,0.1,0.102
"mfscreen",20,0.2,0.203
"mfscreen",20,0.3,0.296
"Pearson SIS",20,0.001,0.031
"Pearson SIS",20,0.005,0.067
"Pearson SIS",20,0.01,0.093
"Pearson SIS",20,0.025,0.137
"Pearson SIS",20,0.05,0.192
"Pearson SIS",20,0.1,0.282
"Pearson SIS",20,0.2,0.39
"Pearson SIS",20,0.3,0.477
"Spearman SIS",20,0.001,0.003
"Spearman SIS",20,0.005,0.005
"Spearman SIS",20,0.01,0.012
"Spearman SIS",20,0.025,0.031
"Spearman SIS",20,0.05,0.067
"Spearman SIS",20,0.1,0.123
"Spearman SIS",20,0.2,0.242
"Spearman SIS",20,0.3,0.345
"mfscreen",21,0.001,0.001
"mfscreen",21,0.005,0.005
"mfscreen",21,0.01,0.008
"mfscreen",21,0.025,0.027
"mfscreen",21,0.05,0.053
"mfscreen",21,0.1,0.112
"mfscreen",21,0.2,0.212
"mfscreen",21,0.3,0.32
"Pearson SIS",21,0.001,0.055
"Pearson SIS",21,0.005,0.101
"Pearson SIS",21,0.01,0.129
"Pearson SIS",21,0.025,0.188
"Pearson SIS",21,0.05,0.238
"Pearson SIS",21,0.1,0.328
"Pearson SIS",21,0.2,0.438
"Pearson SIS",21,0.3,0.535
"Spearman SIS",21,0.001,0.003
"Spearman SIS",21,0.005,0.009
"Spearman SIS",21,0.01,0.02
"Spearman SIS",21,0.025,0.045
"Spearman SIS",21,0.05,0.081
"Spearman SIS",21,0.1,0.14
"Spearman SIS",21,0.2,0.248
"Spearman SIS",21,0.3,0.345
"mfscreen",22,0.001,0
"mfscreen",22,0.005,0.005
"mfscreen",22,0.01,0.01
"mfscreen",22,0.025,0.025
"mfscreen",22,0.05,0.065
"mfscreen",22,0.1,0.115
"mfscreen",22,0.2,0.222
"mfscreen",22,0.3,0.314
"Pearson SIS",22,0.001,0.057
"Pearson SIS",22,0.005,0.107
"Pearson SIS",22,0.01,0.14
"Pearson SIS",22,0.025,0.199
"Pearson SIS",22,0.05,0.25
"Pearson SIS",22,0.1,0.324
"Pearson SIS",22,0.2,0.432
"Pearson SIS",22,0.3,0.533
"Spearman SIS",22,0.001,0.002
"Spearman SIS",22,0.005,0.007
"Spearman SIS",22,0.01,0.017
"Spearman SIS",22,0.025,0.041
"Spearman SIS",22,0.05,0.074
"Spearman SIS",22,0.1,0.135
"Spearman SIS",22,0.2,0.238
"Spearman SIS",22,0.3,0.344
"mfscreen",23,0.001,0.001
"mfscreen",23,0.005,0.004
"mfscreen",23,0.01,0.014
"mfscreen",23,0.025,0.029
"mfscreen",23,0.05,0.062
"mfscreen",23,0.1,0.116
"mfscreen",23,0.2,0.214
"mfscreen",23,0.3,0.308
"Pearson SIS",23,0.001,0.085
"Pearson SIS",23,0.005,0.144
"Pearson SIS",23,0.01,0.176
"Pearson SIS",23,0.025,0.237
"Pearson SIS",23,0.05,0.301
"Pearson SIS",23,0.1,0.386
"Pearson SIS",23,0.2,0.498
"Pearson SIS",23,0.3,0.586
"Spearman SIS",23,0.001,0.003
"Spearman SIS",23,0.005,0.011
"Spearman SIS",23,0.01,0.018
"Spearman SIS",23,0.025,0.043
"Spearman SIS",23,0.05,0.081
"Spearman SIS",23,0.1,0.144
"Spearman SIS",23,0.2,0.271
"Spearman SIS",23,0.3,0.375
"mfscreen",24,0.001,0.001
"mfscreen",24,0.005,0.005
"mfscreen",24,0.01,0.011
